views,likes,dislikes,comment_count,type
5119,20,1,3,0
4435991,139054,4059,6887,1
1249702,1988,299,1554,1
300601,10497,382,991,0
616371,8926,461,1026,0
3031863,121285,1186,6852,1
10542,77,22,65,0
3790933,127412,8857,5449,1
1167646,2691,916,1122,0
849499,27121,2042,5181,0
2398093,48511,2221,1843,1
7727696,59673,11124,7350,1
383308,20371,627,1732,0
5366,19,0,2,0
272466,2586,5609,2323,0
58135,519,69,65,0
43449654,1788960,24548,93428,1
525210,24412,1259,1847,0
390261,9474,3091,3207,0
122772,3912,298,403,0
46260,2286,35,17,0
243412,7782,104,340,0
465893,111,14,59,0
59168,2412,193,274,0
82713,3124,151,250,0
1233722,115781,1615,9706,1
71089,460,27,20,0
127404,3869,56,111,0
339256,17267,85,948,0
226659,9725,400,1027,0
241314,15071,186,1011,0
2624056,75930,1949,3555,1
1354030,57838,512,1257,1
45236,1581,110,911,0
172587,379,49,199,0
2122489,20085,1104,1321,1
2291077,102726,12794,11941,1
935744,37129,622,2673,0
1262652,28119,1047,1113,1
49915,386,11,24,0
505794,55628,192,3033,0
3680540,216119,3570,20544,1
1603415,65594,700,12169,1
2585193,40775,3498,8834,1
4722974,119107,3782,6651,1
6659676,223821,4515,11792,1
804363,39816,6304,10586,0
2336528,6729,167,1286,1
501670,28309,422,4084,0
334497,12594,622,588,0
499946,135292,3528,12094,0
1164713,88541,742,6750,0
2935330,281095,2679,16009,1
397983,5666,1682,1306,0
3483755,789750,2840,72376,1
505886,23207,5375,7030,0
178977,14355,87,429,0
406769,6593,397,1253,0
1117997,50946,760,5525,0
1117510,61075,463,64506,0
677167,31301,747,1690,0
463992,25840,509,3708,0
228846,1326,501,1166,0
1276326,70960,811,4293,1
340348,5474,372,653,0
1035804,18816,737,1133,0
270859,11492,576,1715,0
218153,5155,308,655,0
177348,18022,507,3143,0
655161,21013,2563,2671,0
2128788,61484,7800,9079,1
1693011,84669,810,14183,1
816696,29135,1267,8648,0
1223069,23939,8061,6518,1
5938,108,3,21,0
531746,32749,642,1731,0
76491,3849,95,217,0
769769,6133,1124,2837,0
1828753,10814,5339,4793,1
1884763,135815,3303,12752,1
284037,9821,397,708,0
1333817,35950,2080,1611,1
39504,1389,92,696,0
81947,8184,146,922,0
673010,58902,786,2901,0
88644,5172,453,976,0
420033,14353,147,1071,0
326709,5340,207,323,0
736829,18708,794,6460,0
3300683,98182,1914,6794,1
363095,3657,146,389,0
516456,21523,1107,2972,0
3495474,41976,42467,12311,1
2167114,151277,862,8848,1
55460,3871,96,428,0
1716572,46900,2404,10160,1
328417,5188,129,299,0
325333,2750,307,383,0
116732,5023,314,1086,0
82048,3539,144,347,0
59190,2001,86,527,0
113926,1026,37,333,0
82415,4468,70,354,0
1843479,91834,1030,5441,1
76475,4208,44,284,0
100908,314,190,80,0
30569,1184,14,130,0
360001,28058,385,942,0
615712,38795,594,2446,0
23429,365,10,188,0
26922,111,14,38,0
69199,4237,15,220,0
1351046,33595,496,4344,1
647820,8122,168,530,0
276231,30255,412,2293,0
6582,174,8,22,0
52292,204,148,120,0
253763,10327,691,2552,0
12831,86,5,35,0
38818,370,112,95,0
19800,10,102,17,0
322642,25373,537,2414,0
1383687,159600,682,8793,1
77486,5189,60,3194,0
157973,681,337,546,0
65197,4287,36,396,0
575434,29299,514,1749,0
24416,2738,83,479,0
378984,7464,299,359,0
101742,6282,89,797,0
54697,1693,65,79,0
2400741,92831,7687,21714,1
962308,22111,1219,2928,0
22383,921,26,78,0
914680,21174,2586,3064,0
5392036,142006,10797,18930,1
28169,1623,19,113,0
162006,7229,97,886,0
650799,12694,1946,6656,0
298744,5906,444,1502,0
12858,37,1,5,0
34968,1834,27,317,0
137518,1990,70,304,0
66349,4544,87,887,0
356406,11637,120,699,0
3228511,204840,3983,12937,1
113820,5562,50,593,0
244538,12392,236,598,0
80687,197,30,53,0
492640,10058,744,2481,0
167484,10718,37,440,0
863397,16213,1337,2913,0
467678,18528,219,5726,0
340068,14253,719,1174,0
16017,206,16,0,0
4737269,175762,7017,9557,1
39122,1572,629,949,0
214925,5591,145,1281,0
240124,4288,58,438,0
310812,10079,398,5112,0
34262,2023,71,299,0
143522,8593,241,349,0
189155,16242,141,2204,0
224207,2366,570,1919,0
2656622,149105,2339,19644,1
39490,1932,14,159,0
952966,28677,3540,2497,0
1194113,28200,1111,2582,1
327639,17313,165,1401,0
1014512,5954,541,3174,0
32977,146,45,232,0
396661,21839,127,3337,0
130950,2448,39,503,0
96267,3194,105,129,0
86671,280,128,174,0
296542,8575,328,2018,0
2630503,18741,2999,2810,1
33738,1933,36,491,0
426359,6418,333,344,0
50473,5682,39,1634,0
759217,9848,1511,3477,0
68613,1288,101,142,0
10899,58,4,5,0
181539,7193,74,642,0
108991,430,45,556,0
186961,5065,68,222,0
83497,410,28,76,0
3591,92,4,14,0
47069,131,77,41,0
442407,2742,172,473,0
368795,9519,746,1273,0
277792,6408,371,591,0
22221,83,74,63,0
142010,5190,163,720,0
256761,13909,374,1730,0
313133,10118,270,1584,0
66800,3578,75,351,0
48179,4603,92,446,0
336398,4447,179,265,0
42422,243,8,58,0
48864,1941,22,86,0
34460,620,43,65,0
64932,39,14,30,0
106641,230,183,0,0
141308,4455,169,327,0
43426,309,33,47,0
900779,47602,1876,3796,0
6993,20,58,53,0
24578152,891282,51977,125444,1
1431,4,0,0,0
7095077,438470,6754,29178,1
58689,831,253,306,0
122634,2908,210,595,0
256760,782,98,793,0
8993,292,5,162,0
6801,11,35,16,0
1204,7,0,2,0
227162,4836,60,268,0
1856410,38114,2049,2768,1
704,10,2,5,0
393265,16805,19201,8480,0
352770,4782,1838,741,0
3914,48,3,24,0
9747,447,14,81,0
10541,261,7,19,0
17679753,248909,21039,13058,1
2374251,49509,3038,8545,1
5159763,146732,4515,7048,1
194930,6466,139,536,0
5318,20,1,3,0
218186,7773,230,443,0
1267977,2028,304,1586,1
629166,8985,463,1030,0
8041928,60434,11437,7545,1
3913682,129182,8991,5531,1
11156,86,22,74,0
312769,8665,360,966,0
2954882,52519,2453,1948,1
2720774,76529,1960,3599,1
403887,20780,643,1739,0
277614,2609,5622,2337,0
6247,22,0,2,0
6451949,150015,2976,26863,1
18558186,1002549,32178,59945,1
7797259,94545,8233,17122,1
1291361,16081,1368,2877,1
823285,89055,1565,7649,0
1593121,61135,10680,16283,1
366048,14742,1308,1948,0
133092,4168,141,266,0
8072982,174944,6413,9529,1
3252728,10779,282,1949,1
178325,1641,83,178,0
81759,5896,166,864,0
4340962,396790,11280,41890,1
646615,68813,1083,5977,0
8291139,254158,5437,11910,1
751525,77456,566,3164,0
803802,36813,619,5178,0
803168,35094,489,3320,0
1654828,109421,992,7924,1
185707,7018,57,347,0
582019,17558,1212,933,0
4716036,395289,3925,19741,1
33260,181,79,30,0
544230,17911,483,3045,0
523234,6762,2253,1754,0
187278,9402,472,1373,0
248793,29652,327,1371,0
26393,162,74,94,0
1666003,61821,1055,6597,1
438484,4629,236,474,0
123751,3583,283,345,0
336907,18768,177,603,0
364124,26993,210,1121,0
31816,215,39,62,0
50702,2718,145,98,0
5158539,926887,3814,79570,1
89852,5269,164,547,0
1248432,64410,569,66471,1
336404,1795,751,1495,0
172877,11271,75,407,0
57818,3032,76,191,0
686170,32999,654,4597,0
759465,33415,816,1735,0
53502,1747,87,374,0
20772,361,5,115,0
18346,544,28,20,0
67433,439,43,169,0
291603,6006,353,700,0
21007,433,11,35,0
1274705,88299,1183,3638,1
360308,23311,969,4191,0
44284,5183,25,422,0
176380,12369,367,1285,0
47358,1358,179,145,0
372468,13355,803,2119,0
82266,11788,93,1309,0
